experiment_id,polymer_concentration_wt,voltage_kv,flow_rate_ml_h,collector_distance_cm,pei_fraction_wt,observed_score,candidate
EXP-001,8.0,14.0,0.80,14.0,0.5,0.58,0
EXP-002,10.0,16.0,0.60,16.0,0.5,0.71,0
EXP-003,12.0,18.0,0.50,18.0,1.0,0.76,0
EXP-004,9.0,17.0,0.45,17.0,1.0,0.82,0
EXP-005,7.0,15.0,0.50,16.0,1.5,0.69,0
EXP-006,11.0,19.0,0.40,20.0,1.0,0.79,0
CAND-001,8.5,17.5,0.35,18.0,1.0,0.00,1
CAND-002,9.5,18.0,0.40,18.0,1.5,0.00,1
CAND-003,7.5,16.0,0.30,16.0,0.8,0.00,1
CAND-004,10.5,20.0,0.45,20.0,1.2,0.00,1
CAND-005,8.0,15.5,0.55,17.0,1.8,0.00,1
